"pacSelector","kind","owner","principalId","lastChange","category","displayName","id"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Egress Packet Drop Mismatch Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelEgressPacketDropMismatch_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Key Vault","Deploy KeyVault Capacity Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_KeyVault_Capacity_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Service Health Maintenance Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ServiceHealth_Maintenance"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy ALB Data Path Availability Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_ALB_DataPathAvailability_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Monitoring","Deploy Service Health Security Advisory Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_ServiceHealth_SecurityAdvisory"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Compute","Deploy VM Memory Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VM_Memory_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy Activity Log Azure FireWall Delete Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_activitylog_Firewall_Delete"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VNetG Ingress Packet Drop Count Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VnetGw_TunnelIngressPacketDropCount_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy VPNG Egress Packet Drop Count Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_VPNGw_TunnelEgressPacketDropCount_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Web Services","Deploy App Service Plan Disk Queue Length Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_WSF_DiskQueueLength_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","Network","Deploy PIP VIP Availability Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_PublicIp_VIPAvailability_Alert"
"tenant","Policy","unknownOwner","6fbe428d-4742-4399-856d-ac2d719023a2","2023-12-07T16:32:45","","Deploy Frontdoor CDN Profile Origin Health Percentage Alert","/providers/Microsoft.Management/managementGroups/AlexYoTop/providers/Microsoft.Authorization/policyDefinitions/Deploy_FrontDoorCDN_OriginHealthPercentage_Alert"
